#2th	#Int
3.117	867.25000
3.118	868.83333
3.119	869.87500
3.120	887.00000
3.121	885.04545
3.122	868.18750
3.123	856.25000
3.124	872.33333
3.125	894.12500
3.126	869.25000
3.127	871.07143
3.128	883.25000
3.129	858.25000
3.130	862.33333
3.131	884.66667
3.132	872.50000
3.133	879.00000
3.134	872.16667
3.135	869.60000
3.136	873.25000
3.137	877.50000
3.138	886.75000
3.139	861.50000
3.140	870.75000
3.141	868.19231
3.142	871.66667
3.143	883.62500
3.144	885.37500
3.145	882.75000
3.146	878.50000
3.147	879.78571
3.148	868.40000
3.149	881.91667
3.150	887.16667
3.151	873.91667
3.152	878.50000
3.153	881.75000
3.154	888.68182
3.155	882.05000
3.156	876.83333
3.157	873.83333
3.158	860.50000
3.159	879.08333
3.160	891.50000
3.161	874.80769
3.162	880.56250
3.163	872.00000
3.164	878.25000
3.165	876.83333
3.166	891.00000
3.167	864.88889
3.168	874.43750
3.169	887.25000
3.170	861.41667
3.171	867.16667
3.172	895.75000
3.173	897.00000
3.174	873.53846
3.175	894.37500
3.176	863.41667
3.177	869.58333
3.178	872.87500
3.179	895.87500
3.180	873.10000
3.181	875.15000
3.182	896.93750
3.183	873.83333
3.184	875.00000
3.185	870.87500
3.186	890.00000
3.187	877.55556
3.188	899.00000
3.189	868.75000
3.190	873.50000
3.191	867.83333
3.192	865.50000
3.193	876.37500
3.194	886.90909
3.195	905.81250
3.196	865.08333
3.197	857.83333
3.198	854.75000
3.199	884.75000
3.200	868.57143
3.201	888.30000
3.202	875.08333
3.203	845.66667
3.204	860.75000
3.205	887.87500
3.206	877.75000
3.207	852.33333
3.208	878.16667
3.209	855.75000
3.210	871.58333
3.211	866.50000
3.212	890.75000
3.213	854.50000
3.214	871.03846
3.215	868.33333
3.216	858.43750
3.217	890.12500
3.218	888.33333
3.219	891.50000
3.220	870.28571
3.221	879.60000
3.222	872.16667
3.223	857.75000
3.224	886.25000
3.225	902.25000
3.226	892.50000
3.227	875.96154
3.228	876.68750
3.229	873.75000
3.230	870.83333
3.231	880.87500
3.232	891.12500
3.233	894.50000
3.234	870.42308
3.235	870.93750
3.236	869.08333
3.237	886.50000
3.238	868.00000
3.239	864.50000
3.240	863.72222
3.241	867.05000
3.242	875.00000
3.243	870.83333
3.244	863.43750
3.245	891.75000
3.246	859.37500
3.247	863.86364
3.248	868.25000
3.249	861.91667
3.250	873.75000
3.251	850.00000
3.252	879.75000
3.253	858.00000
3.254	871.66667
3.255	873.62500
3.256	859.50000
3.257	877.00000
3.258	866.62500
3.259	877.25000
3.260	888.72727
3.261	868.90000
3.262	868.66667
3.263	901.00000
3.264	877.08333
3.265	865.75000
3.266	872.50000
3.267	878.54545
3.268	861.37500
3.269	878.31250
3.270	899.75000
3.271	886.75000
3.272	891.25000
3.273	862.10000
3.274	867.75000
3.275	869.16667
3.276	866.00000
3.277	897.75000
3.278	885.75000
3.279	895.50000
3.280	881.03846
3.281	867.56250
3.282	870.91667
3.283	873.83333
3.284	874.00000
3.285	881.87500
3.286	887.75000
3.287	882.57692
3.288	884.43750
3.289	868.00000
3.290	868.12500
3.291	859.75000
3.292	904.00000
3.293	886.50000
3.294	877.10000
3.295	886.56250
3.296	853.00000
3.297	875.00000
3.298	868.50000
3.299	880.12500
3.300	877.95455
3.301	885.31250
3.302	869.33333
3.303	861.83333
3.304	883.75000
3.305	850.50000
3.306	878.50000
3.307	877.50000
3.308	874.93750
3.309	855.41667
3.310	888.12500
3.311	881.08333
3.312	846.25000
3.313	870.31818
3.314	875.25000
3.315	866.00000
3.316	862.41667
3.317	874.58333
3.318	863.50000
3.319	885.50000
3.320	869.04545
3.321	872.81250
3.322	869.58333
3.323	859.33333
3.324	870.16667
3.325	862.75000
3.326	894.25000
3.327	871.84615
3.328	880.68750
3.329	871.50000
3.330	870.75000
3.331	871.62500
3.332	883.50000
3.333	880.81818
3.334	873.90000
3.335	867.25000
3.336	879.50000
3.337	896.62500
3.338	869.12500
3.339	900.50000
3.340	881.04545
3.341	862.50000
3.342	862.43750
3.343	872.62500
3.344	888.00000
3.345	867.50000
3.346	874.00000
3.347	884.95000
3.348	857.85000
3.349	871.91667
3.350	877.58333
3.351	875.00000
3.352	880.00000
3.353	875.72222
3.354	877.00000
3.355	867.00000
3.356	863.16667
3.357	876.25000
3.358	899.75000
3.359	837.00000
3.360	881.81818
3.361	875.70000
3.362	878.16667
3.363	870.25000
3.364	867.16667
3.365	896.25000
3.366	877.66667
3.367	877.75000
3.368	869.33333
3.369	872.33333
3.370	880.00000
3.371	839.00000
3.372	880.50000
3.373	877.68182
3.374	871.68750
3.375	859.41667
3.376	876.83333
3.377	869.58333
3.378	891.25000
3.379	899.00000
3.380	877.76923
3.381	878.70000
3.382	857.50000
3.383	871.50000
3.384	878.08333
3.385	907.50000
3.386	883.66667
3.387	896.70000
3.388	873.25000
3.389	864.25000
3.390	882.12500
3.391	866.25000
3.392	894.00000
3.393	883.00000
3.394	889.00000
3.395	874.16667
3.396	868.08333
3.397	875.58333
3.398	860.50000
3.399	896.00000
3.400	870.73077
3.401	875.70000
3.402	872.75000
3.403	875.75000
3.404	875.50000
3.405	874.00000
3.406	863.05556
3.407	866.68750
3.408	879.12500
3.409	867.66667
3.410	879.62500
3.411	876.75000
3.412	861.50000
3.413	882.00000
3.414	872.75000
3.415	885.58333
3.416	868.25000
3.417	877.33333
3.418	877.25000
3.419	864.00000
3.420	887.03333
3.421	870.62500
3.422	883.00000
3.423	881.08333
3.424	847.50000
3.425	871.50000
3.426	871.22222
3.427	870.43750
3.428	875.18750
3.429	875.25000
3.430	877.62500
3.431	871.12500
3.432	868.75000
3.433	862.88462
3.434	872.65000
3.435	868.75000
3.436	885.12500
3.437	872.25000
3.438	898.00000
3.439	873.50000
3.440	876.95833
3.441	873.50000
3.442	875.08333
3.443	874.75000
3.444	884.00000
3.445	880.87500
3.446	880.45455
3.447	893.62500
3.448	861.41667
3.449	869.75000
3.450	884.41667
3.451	872.00000
3.452	882.50000
3.453	874.50000
3.454	872.05000
3.455	867.50000
3.456	879.50000
3.457	875.75000
3.458	877.00000
3.459	872.00000
3.460	865.25000
3.461	865.50000
3.462	878.81250
3.463	874.37500
3.464	873.25000
3.465	864.50000
3.466	860.90909
3.467	881.00000
3.468	868.75000
3.469	883.08333
3.470	888.66667
3.471	857.00000
3.472	877.00000
3.473	869.43333
3.474	871.87500
3.475	885.58333
3.476	885.58333
3.477	910.50000
3.478	857.25000
3.479	882.71429
3.480	875.10000
3.481	877.06250
3.482	883.58333
3.483	863.25000
3.484	874.75000
3.485	894.00000
3.486	883.86364
3.487	879.81250
3.488	876.33333
3.489	875.58333
3.490	862.50000
3.491	901.50000
3.492	898.50000
3.493	879.83333
3.494	882.56250
3.495	870.75000
3.496	865.75000
3.497	880.25000
3.498	891.87500
3.499	870.11111
3.500	894.75000
3.501	871.12500
3.502	870.25000
3.503	888.75000
3.504	888.50000
3.505	879.00000
3.506	873.88462
3.507	869.70000
3.508	868.66667
3.509	884.12500
3.510	873.62500
3.511	872.75000
3.512	869.75000
3.513	879.17769
3.514	871.35063
3.515	862.05917
3.516	874.87000
3.517	873.91500
3.518	880.76625
3.519	860.50167
3.520	875.83300
3.521	849.43167
3.522	871.09250
3.523	858.10583
3.524	859.00000
3.525	878.50000
3.526	873.46933
3.527	868.66187
3.528	864.10917
3.529	873.36167
3.530	877.97500
3.531	882.79625
3.532	870.36250
3.533	866.00800
3.534	856.81000
3.535	881.60917
3.536	861.54125
3.537	864.75000
3.538	879.50000
3.539	868.15682
3.540	875.80250
3.541	864.73250
3.542	882.05688
3.543	875.94500
3.544	880.00500
3.545	893.70750
3.546	867.58167
3.547	879.35687
3.548	881.70417
3.549	874.77750
3.550	866.00000
3.551	871.25000
3.552	862.10000
3.553	871.58333
3.554	891.56250
3.555	883.16667
3.556	885.25000
3.557	868.75000
3.558	866.00000
3.559	868.59091
3.560	874.37500
3.561	893.37500
3.562	894.91667
3.563	873.62500
3.564	880.50000
3.565	889.62500
3.566	869.42308
3.567	877.56250
3.568	886.00000
3.569	890.50000
3.570	873.00000
3.571	893.50000
3.572	888.35714
3.573	871.05000
3.574	874.68750
3.575	884.41667
3.576	876.83333
3.577	893.25000
3.578	891.50000
3.579	881.15385
3.580	863.31250
3.581	894.41667
3.582	876.66667
3.583	885.75000
3.584	891.25000
3.585	869.00000
3.586	882.96154
3.587	874.93750
3.588	875.91667
3.589	877.25000
3.590	891.75000
3.591	887.12500
3.592	889.55556
3.593	869.37500
3.594	876.37500
3.595	860.75000
3.596	896.25000
3.597	838.50000
3.598	927.50000
3.599	877.13333
3.600	887.68750
3.601	865.16667
3.602	872.50000
3.603	883.25000
3.604	888.25000
3.605	888.50000
3.606	880.13333
3.607	881.25000
3.608	861.08333
3.609	866.87500
3.610	879.00000
3.611	912.50000
3.612	882.83333
3.613	883.50000
3.614	860.56250
3.615	866.58333
3.616	880.12500
3.617	876.50000
3.618	893.50000
3.619	886.00000
3.620	878.75000
3.621	873.08333
3.622	863.91667
3.623	889.00000
3.624	876.50000
3.625	888.00000
3.626	883.16667
3.627	869.87500
3.628	888.50000
3.629	858.37500
3.630	874.50000
3.631	878.00000
3.632	884.69231
3.633	862.81250
3.634	862.41667
3.635	874.75000
3.636	862.25000
3.637	858.00000
3.638	876.00000
3.639	878.92308
3.640	865.06250
3.641	846.50000
3.642	873.41667
3.643	872.25000
3.644	883.50000
3.645	885.90000
3.646	866.87500
3.647	860.55000
3.648	856.08333
3.649	912.00000
3.650	879.25000
3.651	885.50000
3.652	875.26923
3.653	878.50000
3.654	853.25000
3.655	867.93750
3.656	886.50000
3.657	877.75000
3.658	853.87500
3.659	882.42308
3.660	873.93750
3.661	873.66667
3.662	870.66667
3.663	885.00000
3.664	844.00000
3.665	881.50000
3.666	871.15000
3.667	874.65000
3.668	883.08333
3.669	869.75000
3.670	874.25000
3.671	862.25000
3.672	883.95455
3.673	874.75000
3.674	868.87500
3.675	868.41667
3.676	864.50000
3.677	867.25000
3.678	885.50000
3.679	875.83333
3.680	871.16667
3.681	869.58333
3.682	865.83333
3.683	870.50000
3.684	889.25000
3.685	879.57143
3.686	875.91667
3.687	872.37500
3.688	870.91667
3.689	863.00000
3.690	888.00000
3.691	894.75000
3.692	870.23077
3.693	887.62500
3.694	866.66667
3.695	845.66667
3.696	872.50000
3.697	879.87500
3.698	864.75000
3.699	864.33333
3.700	876.56250
3.701	855.87500
3.702	843.50000
3.703	872.00000
3.704	859.00000
3.705	857.86364
3.706	877.50000
3.707	871.75000
3.708	859.41667
3.709	868.75000
3.710	873.75000
3.711	858.75000
3.712	879.42308
3.713	879.75000
3.714	866.58333
3.715	871.16667
3.716	877.50000
3.717	843.50000
3.718	895.50000
3.719	887.63333
3.720	872.65000
3.721	862.16667
3.722	895.75000
3.723	867.87500
3.724	845.50000
3.725	887.30769
3.726	882.31250
3.727	868.16667
3.728	862.91667
3.729	895.25000
3.730	837.50000
3.731	853.25000
3.732	875.65385
3.733	873.81250
3.734	879.08333
3.735	888.91667
3.736	884.00000
3.737	870.50000
3.738	867.00000
3.739	868.35714
3.740	874.05000
3.741	871.75000
3.742	921.50000
3.743	899.50000
3.744	887.25000
3.745	863.68182
3.746	879.75000
3.747	869.12500
3.748	880.25000
3.749	882.50000
3.750	890.62500
3.751	862.50000
3.752	869.34615
3.753	877.18750
3.754	872.66667
3.755	868.50000
3.756	873.25000
3.757	868.00000
3.758	867.50000
3.759	875.10714
3.760	867.81250
3.761	874.25000
3.762	861.25000
3.763	889.00000
3.764	864.87500
3.765	886.77273
3.766	883.43750
3.767	865.37500
3.768	863.33333
3.769	878.50000
3.770	891.25000
3.771	841.50000
3.772	881.80000
3.773	889.12500
3.774	861.58333
3.775	878.00000
3.776	881.62500
3.777	884.50000
3.778	873.66667
3.779	879.75000
3.780	876.62500
3.781	869.83333
3.782	863.75000
3.783	920.50000
3.784	853.25000
3.785	882.65385
3.786	868.37500
3.787	867.08333
3.788	862.58333
3.789	870.50000
3.790	862.50000
3.791	858.25000
3.792	884.88235
3.793	868.00000
3.794	849.50000
3.795	897.50000
3.796	855.25000
3.797	862.00000
3.798	880.55556
3.799	883.16667
3.800	886.75000
3.801	863.41667
3.802	875.25000
3.803	881.75000
3.804	889.12500
3.805	875.19231
3.806	889.56250
3.807	874.50000
3.808	883.25000
3.809	880.75000
3.810	897.00000
3.811	924.50000
3.812	875.20588
3.813	878.06250
3.814	871.16667
3.815	886.25000
3.816	871.75000
3.817	893.87500
3.818	873.44444
3.819	878.95000
3.820	863.83333
3.821	868.00000
3.822	869.50000
3.823	871.75000
3.824	866.50000
3.825	870.30769
3.826	873.95000
3.827	847.75000
3.828	874.50000
3.829	868.50000
3.830	876.75000
3.831	868.75000
3.832	873.02941
3.833	860.31250
3.834	855.91667
3.835	866.00000
3.836	907.00000
3.837	868.50000
3.838	868.95455
3.839	876.62500
3.840	858.93750
3.841	880.91667
3.842	848.00000
3.843	885.87500
3.844	879.50000
3.845	861.69231
3.846	875.50000
3.847	861.83333
3.848	899.25000
3.849	863.75000
3.850	897.50000
3.851	872.57143
3.852	875.58333
3.853	860.93750
3.854	869.41667
3.855	875.12500
3.856	858.00000
3.857	894.62500
3.858	875.45455
3.859	874.62500
3.860	860.87500
3.861	871.16667
3.862	844.50000
3.863	896.50000
3.864	896.50000
3.865	875.97059
3.866	853.75000
3.867	858.25000
3.868	868.87500
3.869	872.75000
3.870	889.12500
3.871	880.57143
3.872	884.65000
3.873	849.00000
3.874	856.41667
3.875	894.25000
3.876	881.50000
3.877	881.75000
3.878	885.40909
3.879	881.56250
3.880	858.37500
3.881	858.58333
3.882	897.00000
3.883	876.25000
3.884	862.25000
3.885	879.55882
3.886	870.37500
3.887	861.08333
3.888	858.00000
3.889	893.00000
3.890	856.75000
3.891	871.42857
3.892	878.79167
3.893	867.83333
3.894	859.16667
3.895	862.25000
3.896	883.87500
3.897	866.00000
3.898	872.96154
3.899	877.87500
3.900	863.68750
3.901	850.00000
3.902	877.00000
3.903	865.00000
3.904	884.50000
3.905	878.85294
3.906	874.75000
3.907	866.66667
3.908	874.62500
3.909	880.25000
3.910	876.50000
3.911	878.61111
3.912	894.50000
3.913	869.25000
3.914	885.25000
3.915	879.00000
3.916	882.00000
3.917	868.00000
3.918	883.03333
3.919	883.37500
3.920	856.33333
3.921	874.75000
3.922	880.25000
3.923	892.25000
3.924	880.50000
3.925	881.73333
3.926	859.87500
3.927	852.25000
3.928	882.75000
3.929	870.00000
3.930	891.75000
3.931	887.88889
3.932	869.60000
3.933	864.70000
3.934	853.00000
3.935	900.75000
3.936	872.62500
3.937	861.50000
3.938	877.50000
3.939	869.93750
3.940	873.75000
3.941	853.00000
3.942	896.00000
3.943	836.50000
3.944	906.50000
3.945	877.13333
3.946	858.12500
3.947	869.00000
3.948	871.50000
3.949	890.75000
3.950	857.12500
3.951	890.63636
3.952	872.81250
3.953	861.85000
3.954	842.50000
3.955	893.25000
3.956	884.00000
3.957	871.50000
3.958	878.96667
3.959	867.25000
3.960	871.81250
3.961	876.00000
3.962	883.87500
3.963	878.12500
3.964	888.90000
3.965	865.58333
3.966	884.00000
3.967	870.58333
3.968	898.00000
3.969	864.25000
3.970	900.00000
3.971	873.22727
3.972	882.70000
3.973	859.18750
3.974	889.87500
3.975	881.12500
3.976	869.25000
3.977	872.50000
3.978	867.11765
3.979	864.18750
3.980	874.50000
3.981	880.50000
3.982	898.00000
3.983	863.25000
3.984	860.07143
3.985	864.83333
3.986	866.50000
3.987	883.93750
3.988	879.00000
3.989	888.25000
3.990	861.50000
3.991	858.43333
3.992	868.31250
3.993	865.16667
3.994	895.50000
3.995	881.50000
3.996	891.00000
3.997	865.25000
3.998	870.90000
3.999	868.37500
4.000	878.41667
4.001	869.87500
4.002	895.25000
4.003	877.00000
4.004	872.78571
4.005	888.45833
4.006	872.40000
4.007	893.50000
4.008	874.75000
4.009	895.00000
4.010	857.00000
4.011	874.20000
4.012	887.00000
4.013	876.75000
4.014	884.37500
4.015	888.12500
4.016	861.50000
4.017	856.25000
4.018	873.70000
4.019	870.06250
4.020	886.00000
4.021	865.25000
4.022	865.25000
4.023	849.50000
4.024	857.22222
4.025	881.60000
4.026	863.10000
4.027	880.87500
4.028	866.25000
4.029	878.00000
4.030	869.75000
4.031	862.20000
4.032	881.93750
4.033	860.83333
4.034	871.75000
4.035	893.75000
4.036	857.00000
4.037	858.28571
4.038	875.25000
4.039	868.87500
4.040	875.25000
4.041	869.62500
4.042	863.12500
4.043	895.50000
4.044	858.33333
4.045	868.70833
4.046	877.12500
4.047	884.25000
4.048	853.75000
4.049	829.50000
4.050	901.00000
4.051	873.56667
4.052	863.00000
4.053	877.06250
4.054	875.00000
4.055	842.25000
4.056	869.62500
4.057	878.75000
4.058	878.63333
4.059	862.75000
4.060	896.00000
4.061	874.75000
4.062	852.75000
4.063	885.50000
4.064	878.34615
4.065	864.87500
4.066	864.93750
4.067	897.87500
4.068	870.62500
4.069	904.00000
4.070	886.75000
4.071	870.57692
4.072	868.25000
4.073	870.83333
4.074	904.00000
4.075	869.50000
4.076	918.25000
4.077	868.21429
4.078	870.50000
4.079	883.70000
4.080	875.50000
4.081	899.00000
4.082	904.50000
4.083	882.75000
4.084	867.50000
4.085	883.40000
4.086	862.16667
4.087	878.00000
4.088	895.50000
4.089	904.50000
4.090	858.25000
4.091	869.33333
4.092	884.56250
4.093	853.66667
4.094	871.87500
4.095	897.00000
4.096	882.37500
4.097	858.71429
4.098	877.71429
4.099	863.93750
4.100	874.75000
4.101	848.50000
4.102	893.00000
4.103	860.00000
4.104	874.73333
4.105	877.87500
4.106	859.83333
4.107	874.62500
4.108	878.62500
4.109	876.00000
4.110	873.25000
4.111	881.60000
4.112	865.43750
4.113	863.33333
4.114	882.50000
4.115	876.00000
4.116	891.50000
4.117	882.11111
4.118	871.91667
4.119	877.31250
4.120	871.12500
4.121	882.75000
4.122	863.37500
4.123	875.37500
4.124	878.18182
4.125	870.35000
4.126	896.25000
4.127	867.75000
4.128	866.25000
4.129	852.75000
4.130	881.00000
4.131	882.63333
4.132	870.43750
4.133	887.83333
4.134	887.12500
4.135	861.87500
4.136	867.75000
4.137	884.05556
4.138	878.45833
4.139	862.68750
4.140	896.50000
4.141	872.25000
4.142	895.00000
4.143	855.25000
4.144	878.57692
4.145	878.06250
4.146	859.93750
4.147	892.00000
4.148	867.00000
4.149	881.62500
4.150	856.50000
4.151	879.06667
4.152	865.70000
4.153	858.25000
4.154	893.50000
4.155	886.00000
4.156	858.50000
4.157	883.69231
4.158	867.31250
4.159	855.81250
4.160	882.25000
4.161	887.00000
4.162	888.50000
4.163	863.50000
4.164	883.34615
4.165	862.55000
4.166	867.66667
4.167	869.00000
4.168	890.50000
4.169	865.75000
4.170	879.70000
4.171	876.68750
4.172	852.50000
4.173	870.83333
4.174	868.75000
4.175	891.50000
4.176	871.50000
4.177	868.59091
4.178	865.00000
4.179	858.91667
4.180	881.00000
4.181	874.00000
4.182	903.00000
4.183	889.25000
4.184	871.16667
4.185	855.33333
4.186	866.75000
4.187	882.50000
4.188	905.25000
4.189	885.87500
4.190	891.40000
4.191	869.37500
4.192	867.81250
4.193	898.75000
4.194	895.50000
4.195	859.00000
4.196	882.00000
4.197	877.88462
4.198	866.00000
4.199	877.00000
4.200	892.62500
4.201	888.87500
4.202	877.37500
4.203	864.75000
4.204	874.23077
4.205	872.37500
4.206	869.25000
4.207	882.00000
4.208	892.00000
4.209	865.50000
4.210	876.04545
4.211	861.65000
4.212	867.25000
4.213	863.75000
4.214	864.25000
4.215	886.75000
4.216	884.87500
4.217	877.22727
4.218	856.60000
4.219	856.08333
4.220	864.25000
4.221	867.50000
4.222	896.25000
4.223	878.00000
4.224	875.56667
4.225	873.15000
4.226	855.12500
4.227	872.87500
4.228	887.50000
4.229	891.50000
4.230	872.44444
4.231	881.87500
4.232	878.06250
4.233	881.75000
4.234	880.25000
4.235	904.00000
4.236	866.25000
4.237	875.84615
4.238	871.25000
4.239	872.06250
4.240	878.00000
4.241	869.25000
4.242	879.50000
4.243	897.75000
4.244	877.06667
4.245	872.05000
4.246	866.75000
4.247	864.75000
4.248	849.00000
4.249	908.00000
4.250	887.40909
4.251	884.00000
4.252	878.62500
4.253	851.62500
4.254	867.62500
4.255	856.00000
4.256	888.75000
4.257	873.69231
4.258	895.00000
4.259	875.81250
4.260	862.25000
4.261	861.00000
4.262	879.75000
4.263	830.50000
4.264	882.29412
4.265	881.93750
4.266	861.08333
4.267	871.50000
4.268	876.50000
4.269	868.62500
4.270	879.94444
4.271	886.25000
4.272	863.50000
4.273	872.75000
4.274	870.50000
4.275	898.50000
4.276	877.00000
4.277	884.84615
4.278	886.00000
4.279	863.43750
4.280	873.87500
4.281	881.25000
4.282	874.25000
4.283	877.25000
4.284	887.58824
4.285	869.56250
4.286	875.75000
4.287	878.66667
4.288	871.50000
4.289	858.00000
4.290	874.50000
4.291	887.87500
4.292	864.37500
4.293	869.00000
4.294	870.50000
4.295	862.25000
4.296	864.75000
4.297	872.50000
4.298	875.62500
4.299	871.00000
4.300	855.25000
4.301	855.25000
4.302	857.50000
4.303	882.83333
4.304	876.91667
4.305	873.33333
4.306	861.25000
4.307	887.25000
4.308	854.50000
4.309	871.87500
4.310	875.86364
4.311	887.60000
4.312	864.91667
4.313	870.25000
4.314	874.50000
4.315	868.25000
4.316	884.00000
4.317	869.85294
4.318	871.50000
4.319	854.12500
4.320	863.75000
4.321	854.25000
4.322	861.00000
4.323	856.00857
4.324	882.91607
4.325	867.40625
4.326	852.60000
4.327	862.24250
4.328	864.27250
4.329	856.40625
4.330	856.93500
4.331	872.19200
4.332	846.14625
4.333	850.37500
4.334	858.50000
4.335	843.75000
4.336	855.50000
4.337	870.63118
4.338	863.62437
4.339	855.89875
4.340	861.48125
4.341	866.81000
4.342	851.07750
4.343	862.82455
4.344	865.50400
4.345	855.72500
4.346	833.75000
4.347	857.00000
4.348	844.12500
4.349	863.00000
4.350	873.92455
4.351	862.50167
4.352	858.18250
4.353	856.91375
4.354	871.88500
4.355	857.16750
4.356	879.49750
4.357	866.81676
4.358	869.55750
4.359	874.75000
4.360	851.87500
4.361	862.87500
4.362	869.12500
4.363	872.00000
4.364	873.62500
4.365	885.50000
4.366	869.50000
4.367	866.00000
4.368	887.00000
4.369	884.25000
4.370	876.69231
4.371	881.80000
4.372	881.66667
4.373	882.87500
4.374	873.00000
4.375	872.62500
4.376	880.25000
4.377	880.00000
4.378	863.68750
4.379	880.50000
4.380	900.16667
4.381	861.50000
4.382	867.00000
4.383	862.50000
4.384	880.05000
4.385	865.56250
4.386	894.00000
4.387	880.62500
4.388	864.00000
4.389	830.50000
4.390	870.11538
4.391	874.04167
4.392	856.50000
4.393	896.75000
4.394	856.75000
4.395	859.00000
4.396	866.10000
4.397	871.50000
4.398	880.50000
4.399	871.75000
4.400	873.50000
4.401	848.75000
4.402	852.62500
4.403	884.38889
4.404	871.70833
4.405	882.25000
4.406	865.50000
4.407	853.75000
4.408	845.75000
4.409	884.50000
4.410	874.56667
4.411	867.75000
4.412	871.91667
4.413	861.62500
4.414	860.37500
4.415	859.50000
4.416	875.87500
4.417	864.86667
4.418	869.50000
4.419	859.75000
4.420	863.75000
4.421	890.50000
4.422	847.75000
4.423	881.81818
4.424	865.05000
4.425	865.91667
4.426	877.75000
4.427	870.75000
4.428	887.87500
4.429	839.50000
4.430	882.60000
4.431	870.75000
4.432	867.00000
4.433	897.75000
4.434	887.00000
4.435	895.50000
4.436	875.94444
4.437	878.70833
4.438	869.93750
4.439	877.12500
4.440	879.25000
4.441	893.62500
4.442	862.50000
4.443	884.09091
4.444	882.08333
4.445	868.00000
4.446	867.83333
4.447	861.00000
4.448	888.50000
4.449	881.00000
4.450	878.23333
4.451	876.68750
4.452	853.87500
4.453	881.12500
4.454	873.25000
4.455	888.87500
4.456	889.00000
4.457	871.71429
4.458	867.50000
4.459	866.25000
4.460	864.75000
4.461	898.50000
4.462	888.25000
4.463	880.56667
4.464	881.87500
4.465	847.50000
4.466	875.50000
4.467	845.50000
4.468	885.87500
4.469	879.37500
4.470	888.90000
4.471	872.06250
4.472	843.25000
4.473	872.25000
4.474	855.25000
4.475	888.75000
4.476	882.83333
4.477	882.95000
4.478	874.31250
4.479	875.37500
4.480	859.12500
4.481	880.62500
4.482	894.50000
4.483	888.95455
4.484	870.45833
4.485	880.83333
4.486	892.75000
4.487	891.00000
4.488	855.50000
4.489	896.75000
4.490	878.73333
4.491	871.62500
4.492	884.33333
4.493	861.75000
4.494	889.50000
4.495	878.87500
4.496	871.78571
4.497	879.96875
4.498	880.00000
4.499	887.75000
4.500	864.25000
4.501	887.75000
4.502	883.00000
4.503	877.70000
4.504	870.87500
4.505	876.66667
4.506	867.12500
4.507	881.00000
4.508	881.50000
4.509	881.37500
4.510	883.80000
4.511	853.06250
4.512	872.00000
4.513	874.25000
4.514	882.00000
4.515	890.00000
4.516	877.72222
4.517	870.29167
4.518	871.25000
4.519	885.00000
4.520	864.50000
4.521	888.12500
4.522	882.50000
4.523	868.23333
4.524	874.15000
4.525	893.25000
4.526	891.00000
4.527	887.25000
4.528	886.50000
4.529	861.60000
4.530	867.09375
4.531	867.83333
4.532	884.08333
4.533	875.62500
4.534	888.50000
4.535	881.25000
4.536	859.44444
4.537	874.96429
4.538	847.75000
4.539	893.75000
4.540	867.50000
4.541	885.00000
4.542	876.50000
4.543	872.67647
4.544	861.06250
4.545	877.75000
4.546	882.87500
4.547	857.37500
4.548	886.62500
4.549	855.75000
4.550	873.52941
4.551	857.00000
4.552	898.25000
4.553	885.50000
